frag_id,Label,Area,Mean,Min,Max,BX,BY,Width,Height,Major,Minor,Angle,Circ.,AR,Round,Solidity
1,M44190.tif:1262-2011,118925,203.363,49,255,1834,1095,355,335,400.575,378.007,0,0.785,1.060,0.944,1.000
2,M44190.tif:1983-2230,1206016,198.733,42,255,1782,1310,896,1346,1518.798,1011.028,90,0.754,1.502,0.666,1.000
3,M44190.tif:1697-1294,1159108,198.956,51,255,708,1203,1172,989,1322.460,1115.967,0,0.780,1.185,0.844,1.000
4,M44190.tif:2704-0761,191590,191.950,51,255,600,2407,322,595,671.386,363.338,90,0.716,1.848,0.541,1.000
5,M44190.tif:2751-1311,212485,187.417,40,255,1078,2524,467,455,526.953,513.413,0,0.785,1.026,0.974,1.000
6,M44190.tif:2794-1675,18644,193.739,28,245,1616,2715,118,158,178.284,133.149,90,0.769,1.339,0.747,1.000
7,M44190.tif:2864-1941,41904,192.033,46,252,1844,2756,194,216,243.730,218.906,90,0.783,1.113,0.898,1.000
8,M44190.tif:2854-2253,23707,198.020,68,255,2175,2779,157,151,177.156,170.385,0,0.785,1.040,0.962,1.000
9,M44190.tif:2790-2522,206444,193.247,40,255,2376,2437,292,707,797.764,329.487,90,0.650,2.421,0.413,1.000
10,M44190.tif:3256-1566,110214,153.622,12,255,1095,3198,942,117,1062.933,132.020,0,0.309,8.051,0.124,1.000
